Magma V2.25-4     Mon Dec  4 2023 18:27:53 on magma-somas [Seed = 1481843785]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "assumptiona.m"
p = 2003: success with T_2 and q = 1 (41.360 sec)
p = 2011: success with T_2 and q = 1 (42.620 sec)
p = 2017: success with T_5 and q = 3 (439.180 sec)
p = 2027: success with T_2 and q = 1 (87.350 sec)
p = 2029: success with T_2 and q = 1 (86.140 sec)
p = 2039: success with T_7 and q = 1 (728.140 sec)
p = 2053: success with T_2 and q = 1 (44.620 sec)
p = 2063: success with T_5 and q = 1 (486.670 sec)
p = 2069: success with T_2 and q = 1 (46.870 sec)
p = 2081: success with T_3 and q = 3 (196.410 sec)
p = 2083: success with T_2 and q = 1 (51.400 sec)
p = 2087: success with T_5 and q = 1 (260.780 sec)
p = 2089: success with T_7 and q = 3 (1465.720 sec)
p = 2099: success with T_2 and q = 1 (56.600 sec)
p = 2111: success with T_7 and q = 1 (309.430 sec)
p = 2113: success with T_5 and q = 3 (263.980 sec)
p = 2129: success with T_3 and q = 3 (111.260 sec)
p = 2131: success with T_2 and q = 1 (55.410 sec)
p = 2137: success with T_5 and q = 3 (273.640 sec)
p = 2141: success with T_2 and q = 1 (108.080 sec)
p = 2143: success with T_3 and q = 1 (239.570 sec)
p = 2153: success with T_3 and q = 3 (115.330 sec)
p = 2161: success with T_7 and q = 3 (728.720 sec)
p = 2179: success with T_2 and q = 1 (61.890 sec)
p = 2203: success with T_2 and q = 1 (69.490 sec)
p = 2207: success with T_5 and q = 1 (311.100 sec)
p = 2213: success with T_2 and q = 1 (126.530 sec)
p = 2221: success with T_2 and q = 1 (137.200 sec)
p = 2237: success with T_2 and q = 1 (194.920 sec)
p = 2239: success with T_3 and q = 1 (124.420 sec)
p = 2243: success with T_2 and q = 1 (198.460 sec)
p = 2251: success with T_2 and q = 1 (179.750 sec)
p = 2267: success with T_2 and q = 1 (68.300 sec)
p = 2269: success with T_2 and q = 1 (123.690 sec)
p = 2273: success with T_3 and q = 3 (274.810 sec)
p = 2281: success with T_7 and q = 3 (377.800 sec)
p = 2287: success with T_3 and q = 1 (129.660 sec)
p = 2293: success with T_2 and q = 1 (139.400 sec)
p = 2297: success with T_3 and q = 3 (132.730 sec)
p = 2309: success with T_2 and q = 1 (65.950 sec)
p = 2311: success with T_3 and q = 1 (132.040 sec)
p = 2333: success with T_2 and q = 1 (141.980 sec)
p = 2339: success with T_2 and q = 1 (131.690 sec)
p = 2341: success with T_2 and q = 1 (270.210 sec)
p = 2347: success with T_2 and q = 1 (74.270 sec)
p = 2351: success with T_2 and q = 1 (196.130 sec)
p = 2357: success with T_2 and q = 1 (141.940 sec)
p = 2371: success with T_2 and q = 1 (74.670 sec)
p = 2377: success with T_5 and q = 3 (381.200 sec)
p = 2381: success with T_2 and q = 1 (79.590 sec)
p = 2383: success with T_3 and q = 1 (158.930 sec)
p = 2389: success with T_2 and q = 1 (77.340 sec)
p = 2393: success with T_3 and q = 3 (335.750 sec)
p = 2399: success with T_2 and q = 1 (76.040 sec)
p = 2411: success with T_2 and q = 1 (79.800 sec)
p = 2417: success with T_3 and q = 3 (166.210 sec)
p = 2423: success with T_5 and q = 1 (413.580 sec)
p = 2437: success with T_2 and q = 1 (90.340 sec)
p = 2441: success with T_3 and q = 3 (175.410 sec)
p = 2447: success with T_5 and q = 1 (410.280 sec)
p = 2459: success with T_2 and q = 1 (85.320 sec)
p = 2467: success with T_2 and q = 1 (96.130 sec)
p = 2473: success with T_5 and q = 3 (443.150 sec)
p = 2477: success with T_2 and q = 1 (91.540 sec)
p = 2503: success with T_3 and q = 1 (198.020 sec)
p = 2521: success with T_11 and q = 3 (768.020 sec)
p = 2531: success with T_2 and q = 1 (103.680 sec)
p = 2539: success with T_2 and q = 1 (197.170 sec)
p = 2543: success with T_5 and q = 1 (487.680 sec)
p = 2549: success with T_2 and q = 1 (104.780 sec)
p = 2551: success with T_3 and q = 1 (206.970 sec)
p = 2557: success with T_2 and q = 1 (201.470 sec)
p = 2579: success with T_2 and q = 1 (213.010 sec)
p = 2591: success with T_7 and q = 1 (858.710 sec)
p = 2593: success with T_5 and q = 3 (835.330 sec)
p = 2609: success with T_3 and q = 3 (443.060 sec)
p = 2617: success with T_5 and q = 3 (1143.810 sec)
p = 2621: success with T_2 and q = 1 (122.860 sec)
p = 2633: success with T_3 and q = 3 (702.340 sec)
p = 2647: success with T_3 and q = 1 (232.260 sec)
p = 2657: success with T_3 and q = 3 (250.750 sec)
p = 2659: success with T_2 and q = 1 (127.490 sec)
p = 2663: success with T_5 and q = 1 (617.740 sec)
p = 2671: success with T_3 and q = 1 (247.170 sec)
p = 2677: success with T_2 and q = 1 (233.630 sec)
p = 2683: success with T_2 and q = 1 (134.950 sec)
p = 2687: success with T_5 and q = 1 (639.410 sec)
p = 2689: success with T_13 and q = 3 (1470.800 sec)
p = 2693: success with T_2 and q = 1 (133.530 sec)
p = 2699: success with T_2 and q = 1 (129.410 sec)
p = 2707: success with T_2 and q = 1 (271.250 sec)
p = 2711: success with T_7 and q = 1 (965.050 sec)
p = 2713: success with T_5 and q = 3 (621.940 sec)
p = 2719: success with T_3 and q = 1 (268.020 sec)
p = 2729: success with T_3 and q = 3 (289.520 sec)
p = 2731: success with T_2 and q = 1 (132.780 sec)
p = 2741: success with T_2 and q = 1 (142.320 sec)
p = 2749: success with T_2 and q = 1 (265.600 sec)
p = 2753: success with T_3 and q = 3 (283.960 sec)
p = 2767: success with T_3 and q = 1 (286.390 sec)
p = 2777: success with T_3 and q = 3 (766.300 sec)
p = 2789: success with T_2 and q = 1 (157.410 sec)
p = 2791: success with T_3 and q = 1 (303.910 sec)
p = 2797: success with T_2 and q = 1 (286.920 sec)
p = 2801: success with T_3 and q = 3 (305.710 sec)
p = 2803: success with T_2 and q = 1 (155.610 sec)
p = 2819: success with T_2 and q = 1 (162.980 sec)
p = 2833: success with T_5 and q = 3 (721.820 sec)
p = 2837: success with T_2 and q = 1 (291.360 sec)
p = 2843: success with T_2 and q = 1 (158.550 sec)
p = 2851: success with T_2 and q = 1 (167.520 sec)
p = 2857: success with T_5 and q = 3 (796.400 sec)
p = 2861: success with T_2 and q = 1 (315.370 sec)
p = 2879: success with T_7 and q = 1 (1205.210 sec)
p = 2887: success with T_3 and q = 1 (344.540 sec)
p = 2897: success with T_3 and q = 3 (365.880 sec)
p = 2903: success with T_5 and q = 1 (842.750 sec)
p = 2909: success with T_2 and q = 1 (172.680 sec)
p = 2917: success with T_2 and q = 1 (323.500 sec)
p = 2927: success with T_5 and q = 1 (832.900 sec)
p = 2939: success with T_2 and q = 1 (353.000 sec)
p = 2953: success with T_5 and q = 3 (1759.740 sec)
p = 2957: success with T_2 and q = 1 (191.390 sec)
p = 2963: success with T_2 and q = 1 (358.480 sec)
p = 2969: success with T_3 and q = 3 (378.880 sec)
p = 2971: success with T_2 and q = 1 (189.880 sec)
p = 2999: success with T_2 and q = 1 (207.670 sec)
[]
13 3

Total time: 39726.260 seconds, Total memory usage: 348.59MB
